productId,name,active,revenue,catalogPresence,productFamily,candidateBodyRegion,candidateMuscleGroups,candidateCapabilities,candidatePatterns,candidateModality,evidence,classificationType,reviewQuestion
899,Lat Pulldown Heavy Duty Series | HWM,1,41480004.000000,current_catalog,CABLE_MACHINE,,BACK,LAT_PULLDOWN,PULL,FUNCTIONAL|CABLE,name|category|feature,explicit_capability_name,Is the named capability explicit for the complete product or only an attachment/variant?
1506,Dual Polea Alta / Remo Bajo MO 2.0 | Obelix,1,40319086.000000,current_catalog,CABLE_MACHINE,,BACK,ROW,PULL,FUNCTIONAL|CABLE,name|category|feature,explicit_capability_name,Is the named capability explicit for the complete product or only an attachment/variant?
746,Squat Rack | KONG,0,34044808.000000,current_catalog,RACK_CAGE,,,SQUAT|PULL_UP,SQUAT,,name|category|feature,explicit_capability_name,Is the named capability explicit for the complete product or only an attachment/variant?
761,Squat Rack Lite Series | HWM,1,25180054.700000,current_catalog,RACK_CAGE,,,SQUAT,SQUAT,,name|category|feature,explicit_capability_name,Is the named capability explicit for the complete product or only an attachment/variant?
1112,Banco Sentadilla Bulgara | HWM,1,24458587.500000,current_catalog,BENCH,,,SQUAT,SQUAT,,name|category|feature,explicit_capability_name,Is the named capability explicit for the complete product or only an attachment/variant?
245,Banco Hip Thrust 1.0 | HWM,0,24385746.000000,current_catalog,BENCH,,GLUTES,HIP_THRUST,HINGE,,name|category|feature,explicit_capability_name,Is the named capability explicit for the complete product or only an attachment/variant?
1337,Banco Hip Thrust 2.0 | HWM,1,24362002.000000,current_catalog,BENCH,,GLUTES,HIP_THRUST,HINGE,,name|category|feature,explicit_capability_name,Is the named capability explicit for the complete product or only an attachment/variant?
1269,Extension de Cuadriceps MO 2.0 Obelix,1,22226866.000000,current_catalog,SELECTORIZED_MACHINE,LOWER_BODY,QUADRICEPS,LEG_EXTENSION,,,name|category|feature,explicit_capability_name,Is the named capability explicit for the complete product or only an attachment/variant?
1272,Hack Squat Lineal MO 2.0 | Obelix,1,21103837.000000,current_catalog,PLATE_LOADED_MACHINE,,,SQUAT,SQUAT,,name|category|feature,explicit_capability_name,Is the named capability explicit for the complete product or only an attachment/variant?
1025,Dual Polea Alta/Remo V8 Series | Obelix,0,16776670.000000,current_catalog,CABLE_MACHINE,,BACK,ROW,PULL,FUNCTIONAL|CABLE,name|category|feature,explicit_capability_name,Is the named capability explicit for the complete product or only an attachment/variant?
1501,Dual Dominada / Fondo Asistida MO 2.0 Obelix,1,15583867.000000,current_catalog,SELECTORIZED_MACHINE,,,PULL_UP,,FUNCTIONAL,name|category|feature,explicit_capability_name,Is the named capability explicit for the complete product or only an attachment/variant?
492,Extension de Cuadriceps V8 Series | Obelix,0,14498902.000000,current_catalog,SELECTORIZED_MACHINE,LOWER_BODY,QUADRICEPS,LEG_EXTENSION,,,name|category|feature,explicit_capability_name,Is the named capability explicit for the complete product or only an attachment/variant?
1885,Remo Sentado ISO ZR Series | PROmachine,1,13823284.000000,current_catalog,PLATE_LOADED_MACHINE,,BACK,ROW,PULL,,name|category|feature,explicit_capability_name,Is the named capability explicit for the complete product or only an attachment/variant?
534,Polea de Muro 2.0 ZR Series | PROmachine,0,113925554.500000,current_catalog,CABLE_MACHINE,,,,,FUNCTIONAL|CABLE,name|category|feature,general_multiuse_family,Does evidence indicate a direct training capability or only product family/marketing?
252,Power Rack Hell Series | HWM,0,112972746.500000,current_catalog,RACK_CAGE,,BACK,ROW,PULL,,name|category|feature,general_multiuse_family,Is the named capability explicit for the complete product or only an attachment/variant?
212,Banco Regulable Hell | HWM,0,73403905.000000,current_catalog,BENCH,,,,,,name|category|feature,general_multiuse_family,Does evidence indicate a direct training capability or only product family/marketing?
29,Barra Olimpica 15kg 220cm Eco Serie | PROmachine,1,70996624.375000,current_catalog,BARBELL,,,,,FREE_WEIGHTS,name|category|feature,general_multiuse_family,Does evidence indicate a direct training capability or only product family/marketing?
32,Barra Olimpica 20kg Training | HWM,1,70077693.499800,current_catalog,BARBELL,,,,,FREE_WEIGHTS,name|category|feature,general_multiuse_family,Does evidence indicate a direct training capability or only product family/marketing?
1338,Banco Regulable Negro | KONG,1,68393606.500000,current_catalog,BENCH,,,,,,name|category|feature,general_multiuse_family,Does evidence indicate a direct training capability or only product family/marketing?
31,Barra Olimpica 20kg Classic Serie | PROmachine,1,56189727.790000,current_catalog,BARBELL,,,,,FREE_WEIGHTS,name|category|feature,general_multiuse_family,Does evidence indicate a direct training capability or only product family/marketing?
537,Set 50kg Maletin Cast Iron,1,52110614.000200,current_catalog,DUMBBELL,,,,,FREE_WEIGHTS,name|category|feature,general_multiuse_family,Does evidence indicate a direct training capability or only product family/marketing?
1517,Polea Cruzada Corta MO 2.0 | Obelix,1,51724165.000000,current_catalog,CABLE_MACHINE,,,,,FUNCTIONAL|CABLE,name|category|feature,general_multiuse_family,Does evidence indicate a direct training capability or only product family/marketing?
439,Banco Regulable Pro | HWM,0,48366590.100000,current_catalog,BENCH,,,,,,name|category|feature,general_multiuse_family,Does evidence indicate a direct training capability or only product family/marketing?
1551,Banco Multifuncion Leg/Curl Extension ZR Series | PROmachine,1,48012738.000000,current_catalog,BENCH,CORE,ABS_CORE,,,,name|category|feature,general_multiuse_family,Does evidence indicate a direct training capability or only product family/marketing?
366,Set 20kg Maletin Cast Iron,1,47309160.000000,current_catalog,DUMBBELL,,,,,FREE_WEIGHTS,name|category|feature,general_multiuse_family,Does evidence indicate a direct training capability or only product family/marketing?
536,Set 30kg Maletin Cast Iron,1,45008831.000000,current_catalog,DUMBBELL,,,,,FREE_WEIGHTS,name|category|feature,general_multiuse_family,Does evidence indicate a direct training capability or only product family/marketing?
1183,Pack 105kg Mancuernas Hexagonales + Rack Vertical | HWM,1,44571573.000000,current_catalog,DUMBBELL,,,,,FREE_WEIGHTS,name|category|feature,general_multiuse_family,Does evidence indicate a direct training capability or only product family/marketing?
1550,Banco Regulable Alpha | HWM,1,44466534.000000,current_catalog,BENCH,,,,,,name|category|feature,general_multiuse_family,Does evidence indicate a direct training capability or only product family/marketing?
1543,Power Rack Alpha | HWM,1,43590098.000000,current_catalog,RACK_CAGE,,,PULL_UP|DIPS,PULL,,name|category|feature,general_multiuse_family,Is the named capability explicit for the complete product or only an attachment/variant?
1055,Piso De Caucho 1x1mt 15mm (Unidad) 2da Seleccion,,26132871.000000,historical_order_detail_only,FLOORING,,,,,,name,historical,Does evidence indicate a direct training capability or only product family/marketing?
1577,2da Seleccion - Palmeta De Caucho 100x100cm 15mm (Unidad),,24420495.000000,historical_order_detail_only,FLOORING,,,,,,name,historical,Does evidence indicate a direct training capability or only product family/marketing?
1093,Airbike Hurricane 2.0 2da Seleccion | HWM,,21599784.000000,historical_order_detail_only,CARDIO_MACHINE,,,,,,name,historical,Does evidence indicate a direct training capability or only product family/marketing?
1553,2da Seleccion - Airbike Hurricane 3.0 | HWM,,16454816.000000,historical_order_detail_only,CARDIO_MACHINE,,,,,,name,historical,Does evidence indicate a direct training capability or only product family/marketing?
2084,Maquina Home Gym ULTRA FZ410 68kg - 2da Seleccion | Forza,,15886055.000000,historical_order_detail_only,,,,,,,name,historical,Does evidence indicate a direct training capability or only product family/marketing?
1971,Palmeta de Caucho 100x100cm 15mm (Unidad) - 2da Seleccion,,15009225.000000,historical_order_detail_only,FLOORING,,,,,,name,historical,Does evidence indicate a direct training capability or only product family/marketing?
1970,Airbike Hurricane 3.0 - 2da Seleccion | HWM,,14849839.000000,historical_order_detail_only,CARDIO_MACHINE,,,,,,name,historical,Does evidence indicate a direct training capability or only product family/marketing?
711,Pack Garage Kong HWM,,13283055.000000,historical_order_detail_only,,,,,,,name,historical,Does evidence indicate a direct training capability or only product family/marketing?
1089,Pack 8 Pares de Mancuernas Black + Rack | HWM,,12367210.000000,historical_order_detail_only,DUMBBELL,,,,,FREE_WEIGHTS,name,historical,Does evidence indicate a direct training capability or only product family/marketing?
1481,2da Seleccion - Airbike Hurricane 3.0 | HWM,,11679859.000000,historical_order_detail_only,CARDIO_MACHINE,,,,,,name,historical,Does evidence indicate a direct training capability or only product family/marketing?
1628,Set 20kg Maletin Cast Iron | 2da Seleccion,,9904896.000000,historical_order_detail_only,,,,,,,name,historical,Does evidence indicate a direct training capability or only product family/marketing?
2174,Palmeta de Caucho 100x100cm 15mm - 2da Seleccion StrongFit (Unidad),,9806028.000000,historical_order_detail_only,FLOORING,,,,,,name,historical,Does evidence indicate a direct training capability or only product family/marketing?
1478,2da Seleccion - Piso De Caucho 1x1mt 15mm (Unidad),,8752114.000000,historical_order_detail_only,FLOORING,,,,,,name,historical,Does evidence indicate a direct training capability or only product family/marketing?
1571,Rampa Caminata de Manos | HWM | 2da Seleccion,,7036058.500000,historical_order_detail_only,BODYWEIGHT_GYMNASTICS,,,,,,name,historical,Does evidence indicate a direct training capability or only product family/marketing?
2077,Maquina Home Gym PRO FZ402B 68kg - 2da Seleccion | Forza,,6835255.000000,historical_order_detail_only,,,,,,,name,historical,Does evidence indicate a direct training capability or only product family/marketing?
85,Cajon Pliometrico Acolchado 3 en 1 (75x50x60cm) | HWM,1,33072058.000000,current_catalog,,,,,,FUNCTIONAL,name|category|feature,other_current,Does evidence indicate a direct training capability or only product family/marketing?
724,Pack 100kg Classic Black + Training 20kg | HWM,0,28395511.000000,current_catalog,,,,,,FREE_WEIGHTS,name|category|feature,other_current,Does evidence indicate a direct training capability or only product family/marketing?
425,Set Body Pump | FullFit,1,28040345.500000,current_catalog,,,,,,FUNCTIONAL|FREE_WEIGHTS,name|category|feature,other_current,Does evidence indicate a direct training capability or only product family/marketing?
80,Magnesio 56gr (Unidad) | Araknido,1,27978664.582100,current_catalog,,,,,,,name|category|feature,other_current,Does evidence indicate a direct training capability or only product family/marketing?
727,Pack 150kg Classic Black + Training 20kg | HWM,0,20102211.000000,current_catalog,,,,,,FREE_WEIGHTS,name|category|feature,other_current,Does evidence indicate a direct training capability or only product family/marketing?
900,Set 4 Cajones Pliometricos Apilables | HWM,1,20027322.000000,current_catalog,,,,,,FUNCTIONAL,name|category|feature,other_current,Does evidence indicate a direct training capability or only product family/marketing?
