productId,name,active,productFamily,currentCoverageStatus,currentAssignments,resolutionState,candidateCapabilities,missingCapabilities,evidenceSummary,gapType,confidence,revenue,orderLines,unitsSold,reason
1266,Aperturas Pec Fly / Rear Delt MO 2.0 Obelix®,true,SELECTORIZED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:SELECTORIZED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,17155894,14,14,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
2134,Multifuncional Smith ZR Series | PROmachine,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,MULTIFUNCTION_SIGNAL:AVAILABLE|PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,16628593,23,23,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
495,Polea Cruzada V8 Series | Obelix,true,CABLE_MACHINE,INSUFFICIENT_EVIDENCE,,DATA_GAP,,,PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,DATA_GAP,LOW,15319928,8,8,Exact missing data: trusted structured category or semantic feature evidence needed to decide whether a V1 capability applies.
1451,Máquina Home Gym ULTRA FZ410 68kg | Forza,true,CABLE_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,14049315,55,55,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1270,Curl de Femoral Acostado MO 2.0 Obelix®,true,SELECTORIZED_MACHINE,INSUFFICIENT_EVIDENCE,,RULE_GAP,LEG_CURL,LEG_CURL,PRODUCT_FAMILY:SELECTORIZED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE|TRUSTED_V1_SIGNAL:LEG_CURL,RULE_GAP,HIGH,13182901,10,11,Trusted product evidence indicates LEG_CURL but the published snapshot has no assignment.
1121,Atril de Sentadillas 1.0 (Par) | Forza,true,RACK_CAGE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:RACK_CAGE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,12713649.5,195,214,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
2068,Smith Machine ZR Series | PROmachine,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,12706825,34,36,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1274,Jaula Smith Vertical MO 2.0 | Obelix®,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,12055946,8,8,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1660,Dual Prensa Hack Beast | Obelix,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,MULTIFUNCTION_SIGNAL:AVAILABLE|PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,11385946,6,6,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1516,Polea Cruzada MO 2.0 | Obelix®,true,CABLE_MACHINE,INSUFFICIENT_EVIDENCE,,DATA_GAP,,,PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,DATA_GAP,LOW,10299947,6,6,Exact missing data: trusted structured category or semantic feature evidence needed to decide whether a V1 capability applies.
1664,Multi Fly de Pie MO 2.0 | Obelix®,true,SELECTORIZED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,MULTIFUNCTION_SIGNAL:AVAILABLE|PRODUCT_FAMILY:SELECTORIZED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,10159935,7,7,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
2133,Smith Machine Half Rack ZR Series | PROmachine,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,9935233,21,21,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1884,Squat Machine ZR Series | PROmachine,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,DEFERRED_SIGNAL:SQUAT|PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,HIGH,9824843,22,22,Product is a credible dedicated machine for deferred capability SQUAT; the current V1 registry intentionally cannot represent it.
1922,Multipower MO 2.0 | Obelix®,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,9689964,4,4,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1275,Prensa Horizontal Sentado MO 2.0 Obelix®,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,9407954,5,5,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1450,Máquina Home Gym PRO FZ402B 68kg | Forza,true,CABLE_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,9207185,44,44,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
491,Prensa Horizontal Sentado V8 Series | Obelix,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,8636960,5,5,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1507,Dual Bíceps / Tríceps MO 2.0 | Obelix®,true,SELECTORIZED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,MULTIFUNCTION_SIGNAL:AVAILABLE|PRODUCT_FAMILY:SELECTORIZED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,7979892,7,7,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1539,Atril de Sentadillas Alpha | HWM®,true,RACK_CAGE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:RACK_CAGE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,7672518.5,54,59,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
2139,Polea Dual Multifuncional 70kg ZR Series | PROmachine,true,CABLE_MACHINE,INSUFFICIENT_EVIDENCE,,DATA_GAP,,,MULTIFUNCTION_SIGNAL:AVAILABLE|PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,DATA_GAP,LOW,7113272,18,19,Exact missing data: trusted structured category or semantic feature evidence needed to decide whether a V1 capability applies.
1658,Prensa Inclinada 45° Lineal Beast | Obelix,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,5925249,4,4,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1284,Elevación de Talones de Pie MO 2.0 | Obelix®,true,SELECTORIZED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:SELECTORIZED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,5694955,5,5,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1535,Atril de Sentadillas Delta | HWM®,true,RACK_CAGE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:RACK_CAGE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,5296607.5,42,43,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1654,V-Squat Beast | Obelix,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,DEFERRED_SIGNAL:SQUAT|PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,HIGH,4759972,3,3,Product is a credible dedicated machine for deferred capability SQUAT; the current V1 registry intentionally cannot represent it.
1544,Atril de Sentadillas Magnum | HWM®,true,RACK_CAGE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:RACK_CAGE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,4649868,18,18,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
2019,V-Squat | Peach Builder,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,DEFERRED_SIGNAL:SQUAT|PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,HIGH,4371626,3,3,Product is a credible dedicated machine for deferred capability SQUAT; the current V1 registry intentionally cannot represent it.
258,Extensión de Tríceps MO Series | Obelix,true,UNKNOWN,INSUFFICIENT_EVIDENCE,,ONTOLOGY_GAP,,,DEFERRED_SIGNAL:TRICEPS_EXTENSION|PRODUCT_FAMILY:UNKNOWN|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,HIGH,4299957,6,6,Product is a credible dedicated machine for deferred capability TRICEPS_EXTENSION; the current V1 registry intentionally cannot represent it.
1126,Rampa Caminata de Manos | HWM®,true,BODYWEIGHT_GYMNASTICS,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:BODYWEIGHT_GYMNASTICS|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,3829296,12,12,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
2018,Prensa Inclinada 45° Unilateral MO 2.0 | Obelix®,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,3799980,3,3,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1663,Prensa Péndulo Beast | Obelix,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,3639980,2,2,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
388,Par Push Ups 1.0 | FullFit,true,UNKNOWN,UNMODELED,"{""capabilityCode"":""DIP"",""relationType"":""DIRECT""}",SEMANTIC_PARTIAL,PULL_UP|DIP,PULL_UP,PRODUCT_FAMILY:UNKNOWN|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE|TRUSTED_V1_SIGNAL:DIP|PULL_UP,RULE_GAP,MEDIUM,3018472.5,462,537,"Published assignment exists, but trusted V1 evidence also indicates missing capability PULL_UP."
1511,Elevación de Talones Sentado MO 2.0 | Obelix®,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,2699955,5,5,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
2022,Reverse Hyper | Peach Builder,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,2690971,3,3,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
2025,Multi Hip Extension | Peach Builder,true,PLATE_LOADED_MACHINE,INSUFFICIENT_EVIDENCE,,DATA_GAP,,,MULTIFUNCTION_SIGNAL:AVAILABLE|PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,DATA_GAP,LOW,2477081,2,2,Exact missing data: trusted structured category or semantic feature evidence needed to decide whether a V1 capability applies.
1921,Dual Crossover MO 2.0 | Obelix®,true,CABLE_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,MULTIFUNCTION_SIGNAL:AVAILABLE|PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,2339991,1,1,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1946,Pack Delta Pro | HWM®,true,UNKNOWN,UNMODELED,,AMBIGUOUS,,,PRODUCT_FAMILY:UNKNOWN|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,AMBIGUITY,MEDIUM,2162214,2,2,Pack or multi-use wording prevents a deterministic product-level capability decision.
2092,T-Bar Row Beast | Obelix,true,PLATE_LOADED_MACHINE,UNMODELED,,RULE_GAP,ROW,ROW,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE|TRUSTED_V1_SIGNAL:ROW,RULE_GAP,HIGH,2104978,3,3,Trusted product evidence indicates ROW but the published snapshot has no assignment.
2021,Belt Squat | Peach Builder,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,DEFERRED_SIGNAL:SQUAT|PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,HIGH,2053881,2,2,Product is a credible dedicated machine for deferred capability SQUAT; the current V1 registry intentionally cannot represent it.
1229,Hack Squat Solid Rock | BODYTONE,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,DEFERRED_SIGNAL:SQUAT|PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,HIGH,2029993,1,1,Product is a credible dedicated machine for deferred capability SQUAT; the current V1 registry intentionally cannot represent it.
1662,Prensa Vertical 90º Beast | Obelix,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,1619991,1,1,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
2089,3D Hip Thruster Beast | Obelix,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,1350000,1,1,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
2026,Multi Dead Lift | Peach Builder,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,MULTIFUNCTION_SIGNAL:AVAILABLE|PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,1079991,1,1,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
2091,Pull Over Beast | Obelix,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,999990,1,1,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
2203,Dual Cuádriceps / Femoral Acostado MO 2.0 | Obelix®,true,SELECTORIZED_MACHINE,INSUFFICIENT_EVIDENCE,,NEEDS_REVIEW,LEG_EXTENSION|LEG_CURL,LEG_EXTENSION|LEG_CURL,MULTIFUNCTION_SIGNAL:AVAILABLE|PRODUCT_FAMILY:SELECTORIZED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE|TRUSTED_V1_SIGNAL:LEG_CURL|LEG_EXTENSION,QUALITY_REVIEW,MEDIUM,979994,1,1,"Multiple or multifunction V1 signals require product-level adjudication before publishing LEG_EXTENSION, LEG_CURL."
1655,Prensa Pivote Beast | Obelix,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,0,0,0,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1661,Prensa Hack 35º Lineal Beast | Obelix,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,0,0,0,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1945,Pack Delta Basics | HWM®,true,UNKNOWN,UNMODELED,,AMBIGUOUS,,,PRODUCT_FAMILY:UNKNOWN|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,AMBIGUITY,MEDIUM,0,0,0,Pack or multi-use wording prevents a deterministic product-level capability decision.
1947,Pack Alpha Essentials | HWM®,true,UNKNOWN,UNMODELED,,AMBIGUOUS,,,PRODUCT_FAMILY:UNKNOWN|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,AMBIGUITY,MEDIUM,0,0,0,Pack or multi-use wording prevents a deterministic product-level capability decision.
1948,Pack Alpha Premium | HWM®,true,UNKNOWN,UNMODELED,,AMBIGUOUS,,,PRODUCT_FAMILY:UNKNOWN|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,AMBIGUITY,MEDIUM,0,0,0,Pack or multi-use wording prevents a deterministic product-level capability decision.
2188,Prensa Horizontal Sentado MO 2.0 - 2da Selección | Obelix® (OB-MO2-S12-SU40-2),true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,0,0,0,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
