productId,name,active,productFamily,currentCoverageStatus,currentAssignments,resolutionState,candidateCapabilities,missingCapabilities,evidenceSummary,gapType,confidence,revenue,orderLines,unitsSold,reason
302,Barras Paralelas 70cm (Par) | HWM,true,BODYWEIGHT_GYMNASTICS,UNMODELED,"{""capabilityCode"":""DIP"",""relationType"":""DIRECT""}",SEMANTIC_COMPLETE,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:BODYWEIGHT_GYMNASTICS|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,13073096,222,243,Published assignments cover the trusted V1 capability signals observed for the product.
388,Par Push Ups 1.0 | FullFit,true,UNKNOWN,UNMODELED,"{""capabilityCode"":""DIP"",""relationType"":""DIRECT""}",SEMANTIC_PARTIAL,PULL_UP|DIP,PULL_UP,PRODUCT_FAMILY:UNKNOWN|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE|TRUSTED_V1_SIGNAL:DIP|PULL_UP,RULE_GAP,MEDIUM,3018472.5,462,537,"Published assignment exists, but trusted V1 evidence also indicates missing capability PULL_UP."
430,Bicicleta de Spinning Move | Obelix,true,CARDIO_MACHINE,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:CARDIO_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,33100624.5,85,113,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
435,Set 10 Body Pump + Rack | FullFit,true,RACK_CAGE,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:RACK_CAGE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,13955136,15,20,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
437,Soga de Tríceps - Accesorio Polea | Obelix,true,CABLE_MACHINE,NO_CAPABILITY_APPLICABLE,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,11231760.5,472,631,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
454,Barra Lat Pull Down - Accesorio Polea | Obelix,true,CABLE_MACHINE,NO_CAPABILITY_APPLICABLE,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,7462863.5,268,275,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
455,Barra Corta Recta - Accesorio Polea | Obelix,true,CABLE_MACHINE,NO_CAPABILITY_APPLICABLE,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,6640054,364,404,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
462,Agarre Manilla Simple de Acero - Accesorio Polea (Unidad) | Obelix,true,CABLE_MACHINE,NO_CAPABILITY_APPLICABLE,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,4807260,243,354,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
463,Par Ankle Straps de Cuero | FullFit,true,MACHINE_ATTACHMENT,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,PRODUCT_FAMILY:MACHINE_ATTACHMENT|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,6624367.5,361,582,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
466,Agarre Remo Neutro - Accesorio Polea | Obelix,true,CABLE_MACHINE,NO_CAPABILITY_APPLICABLE,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,8587311,426,454,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
485,Press de Hombro V8 Series | Obelix,true,SELECTORIZED_MACHINE,UNMODELED,"{""capabilityCode"":""SHOULDER_PRESS"",""relationType"":""DIRECT""}",SEMANTIC_COMPLETE,SHOULDER_PRESS,,PRODUCT_FAMILY:SELECTORIZED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE|TRUSTED_V1_SIGNAL:SHOULDER_PRESS,,HIGH,839994,1,1,Published assignments cover the trusted V1 capability signals observed for the product.
486,Press de Pectoral V8 Series | Obelix,true,SELECTORIZED_MACHINE,UNMODELED,"{""capabilityCode"":""CHEST_PRESS"",""relationType"":""DIRECT""}",SEMANTIC_COMPLETE,CHEST_PRESS,,PRODUCT_FAMILY:SELECTORIZED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE|TRUSTED_V1_SIGNAL:CHEST_PRESS,,HIGH,2127985,2,2,Published assignments cover the trusted V1 capability signals observed for the product.
487,Curl Femoral Sentado V8 Series | Obelix,true,SELECTORIZED_MACHINE,UNMODELED,"{""capabilityCode"":""LEG_CURL"",""relationType"":""DIRECT""}",SEMANTIC_COMPLETE,LEG_CURL,,PRODUCT_FAMILY:SELECTORIZED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE|TRUSTED_V1_SIGNAL:LEG_CURL,,HIGH,8559946,7,7,Published assignments cover the trusted V1 capability signals observed for the product.
489,Remo Sentado V8 Series | Obelix,true,SELECTORIZED_MACHINE,UNMODELED,"{""capabilityCode"":""ROW"",""relationType"":""DIRECT""}",SEMANTIC_COMPLETE,ROW,,PRODUCT_FAMILY:SELECTORIZED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE|TRUSTED_V1_SIGNAL:ROW,,HIGH,2159984,2,2,Published assignments cover the trusted V1 capability signals observed for the product.
491,Prensa Horizontal Sentado V8 Series | Obelix,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,8636960,5,5,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
494,Polea Cruzada Corta V8 Series | Obelix,true,CABLE_MACHINE,INSUFFICIENT_EVIDENCE,,DATA_GAP,,,PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,DATA_GAP,LOW,17920935,7,8,Exact missing data: trusted structured category or semantic feature evidence needed to decide whether a V1 capability applies.
495,Polea Cruzada V8 Series | Obelix,true,CABLE_MACHINE,INSUFFICIENT_EVIDENCE,,DATA_GAP,,,PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,DATA_GAP,LOW,15319928,8,8,Exact missing data: trusted structured category or semantic feature evidence needed to decide whether a V1 capability applies.
503,Remo Bajo V8 Series | Obelix,true,SELECTORIZED_MACHINE,UNMODELED,"{""capabilityCode"":""ROW"",""relationType"":""DIRECT""}",SEMANTIC_COMPLETE,ROW,,PRODUCT_FAMILY:SELECTORIZED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE|TRUSTED_V1_SIGNAL:ROW,,HIGH,0,0,0,Published assignments cover the trusted V1 capability signals observed for the product.
528,Banco Abdominal/Fondo y Dominada MO Series | Obelix,true,BENCH,UNMODELED,"{""capabilityCode"":""PULL_UP"",""relationType"":""DIRECT""}",SEMANTIC_COMPLETE,,,PRODUCT_FAMILY:BENCH|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,6130921,11,11,Published assignments cover the trusted V1 capability signals observed for the product.
679,Bicicleta de Spinning SP9 | Obelix,true,CARDIO_MACHINE,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:CARDIO_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,95919644.5,85,194,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
761,Squat Rack Lite Series | HWM®,true,RACK_CAGE,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,DEFERRED_SIGNAL:SQUAT|PRODUCT_FAMILY:RACK_CAGE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,25180054.7,149,158,Deferred evidence is classified as non-publishable (RACK_CAGE); no V1 assignment is applicable.
777,Par Agarres OCR Pull Up Balls de Madera 68mm | Araknido,true,BODYWEIGHT_GYMNASTICS,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:BODYWEIGHT_GYMNASTICS|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,481288,13,16,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
784,Par Agarres OCR Pull Up Bars de Madera 50mm | Araknido,true,BODYWEIGHT_GYMNASTICS,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:BODYWEIGHT_GYMNASTICS|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,681170,21,23,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
797,Safety Squat Bar Black Series | HWM,true,UNKNOWN,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|DEFERRED_SIGNAL:SQUAT|PRODUCT_FAMILY:UNKNOWN|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,11339510.5,45,50,Deferred evidence is classified as non-publishable (ACCESSORY); no V1 assignment is applicable.
821,Collarines Olímpicos de Aluminio 50mm Silver (Par) | HWM,true,MACHINE_ATTACHMENT,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,PRODUCT_FAMILY:MACHINE_ATTACHMENT|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,10524661,490,626,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
899,Lat Pulldown Heavy Duty Series | HWM®,true,CABLE_MACHINE,UNMODELED,"{""capabilityCode"":""LAT_PULLDOWN"",""relationType"":""DIRECT""}",SEMANTIC_COMPLETE,LAT_PULLDOWN,,PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE|TRUSTED_V1_SIGNAL:LAT_PULLDOWN,,HIGH,41480004,46,46,Published assignments cover the trusted V1 capability signals observed for the product.
930,Bulgarian Squat (Accesorio Jaula Hell - MJHWM2) | HWM,true,MACHINE_ATTACHMENT,NO_CAPABILITY_APPLICABLE,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|DEFERRED_SIGNAL:SQUAT|PRODUCT_FAMILY:MACHINE_ATTACHMENT|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,608686.5,11,12,Deferred evidence is classified as non-publishable (ACCESSORY); no V1 assignment is applicable.
934,Barras Paralelas Ajustables 77-98cm (Par) | HWM,true,BODYWEIGHT_GYMNASTICS,UNMODELED,"{""capabilityCode"":""DIP"",""relationType"":""DIRECT""}",SEMANTIC_COMPLETE,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:BODYWEIGHT_GYMNASTICS|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,18748638.5,215,219,Published assignments cover the trusted V1 capability signals observed for the product.
1021,Multipower ZR Series | PROmachine,true,PLATE_LOADED_MACHINE,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,13489929,9,9,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
1022,"Barra de Tríceps ""V"" Grip - Accesorio Polea | Obelix",true,CABLE_MACHINE,NO_CAPABILITY_APPLICABLE,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,3618232.5,200,241,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
1035,Barra Dominadas Puerta | FullFit,true,BODYWEIGHT_GYMNASTICS,UNMODELED,"{""capabilityCode"":""PULL_UP"",""relationType"":""DIRECT""}",SEMANTIC_COMPLETE,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:BODYWEIGHT_GYMNASTICS|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,2127379,213,336,Published assignments cover the trusted V1 capability signals observed for the product.
1059,Multifuncional Smith ZR Series | PROmachine,true,PLATE_LOADED_MACHINE,UNMODELED,"{""capabilityCode"":""DIP"",""relationType"":""SUPPORTED""}|{""capabilityCode"":""PULL_UP"",""relationType"":""SUPPORTED""}",SEMANTIC_COMPLETE,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|MULTIFUNCTION_SIGNAL:AVAILABLE|PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,15421831,19,19,Published assignments cover the trusted V1 capability signals observed for the product.
1118,Banco Preolímpico Multifuncional Pro | Forza,true,BENCH,UNMODELED,"{""capabilityCode"":""LEG_CURL"",""relationType"":""DIRECT""}",SEMANTIC_COMPLETE,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|MULTIFUNCTION_SIGNAL:AVAILABLE|PRODUCT_FAMILY:BENCH|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,31337249,370,395,Published assignments cover the trusted V1 capability signals observed for the product.
1121,Atril de Sentadillas 1.0 (Par) | Forza,true,RACK_CAGE,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:RACK_CAGE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,12713649.5,195,214,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1122,Multiestación de Poder 1.0 | Forza,true,UNKNOWN,UNMODELED,,DATA_GAP,,,PRODUCT_FAMILY:UNKNOWN|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,DATA_GAP,LOW,18554900.5,254,258,Product Family is UNKNOWN; exact missing data: trusted semantic category and/or structured feature evidence needed to distinguish training function from generic merchandise.
1123,Bicicleta de Spinning Home FZ1.0 | Forza,true,CARDIO_MACHINE,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:CARDIO_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,8766853,75,91,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
1124,Lat Pull Down | Accesorio Smith Machine ZR Series | PROmachine,true,PLATE_LOADED_MACHINE,NO_CAPABILITY_APPLICABLE,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,2651675.5,21,21,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
1126,Rampa Caminata de Manos | HWM®,true,BODYWEIGHT_GYMNASTICS,UNMODELED,,ONTOLOGY_GAP,,,PRODUCT_FAMILY:BODYWEIGHT_GYMNASTICS|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,MEDIUM,3829296,12,12,"Generic training equipment has real utility, but no single current V1 capability expresses its supported movement/function set."
1137,Par Ankle Straps Skull | FullFit,true,MACHINE_ATTACHMENT,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,PRODUCT_FAMILY:MACHINE_ATTACHMENT|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,3090422,226,277,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
1138,Par Ankle Straps Pink Piton | FullFit,true,MACHINE_ATTACHMENT,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,PRODUCT_FAMILY:MACHINE_ATTACHMENT|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,4054363.5,289,320,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
1139,Par Ankle Straps Diamond | FullFit,true,MACHINE_ATTACHMENT,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,PRODUCT_FAMILY:MACHINE_ATTACHMENT|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,3145684.5,250,276,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
1140,Par Ankle Straps Camo | FullFit,true,MACHINE_ATTACHMENT,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,PRODUCT_FAMILY:MACHINE_ATTACHMENT|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,2953894,193,223,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
1158,Trotadora Escaladora Lite Series | Obelix,true,CARDIO_MACHINE,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,PRODUCT_FAMILY:CARDIO_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,16297355,21,22,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
1159,Elíptica Cross Trainer Lite Series | Obelix,true,CARDIO_MACHINE,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,PRODUCT_FAMILY:CARDIO_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,5569379,12,14,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
1160,Elíptica Stepper Lite Series | Obelix,true,CARDIO_MACHINE,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,PRODUCT_FAMILY:CARDIO_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,8590880,14,16,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
1161,Bicicleta de Spinning Training Lite Series | Obelix,true,CARDIO_MACHINE,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,ACCESSORY_OR_SUPPORT_SIGNAL:AVAILABLE|PRODUCT_FAMILY:CARDIO_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,23624448,61,80,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
1193,Salmon Ladder | Araknido,true,UNKNOWN,UNMODELED,"{""capabilityCode"":""PULL_UP"",""relationType"":""DIRECT""}",SEMANTIC_COMPLETE,,,PRODUCT_FAMILY:UNKNOWN|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,226081,6,7,Published assignments cover the trusted V1 capability signals observed for the product.
1207,Multi Estación 4 Stacks V8 Series | Obelix,true,CABLE_MACHINE,UNMODELED,"{""capabilityCode"":""LAT_PULLDOWN"",""relationType"":""DIRECT""}|{""capabilityCode"":""ROW"",""relationType"":""DIRECT""}",SEMANTIC_COMPLETE,LAT_PULLDOWN|ROW,,MULTIFUNCTION_SIGNAL:AVAILABLE|PRODUCT_FAMILY:CABLE_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE|TRUSTED_V1_SIGNAL:LAT_PULLDOWN|ROW,,HIGH,13964972,3,3,Published assignments cover the trusted V1 capability signals observed for the product.
1229,Hack Squat Solid Rock | BODYTONE,true,PLATE_LOADED_MACHINE,UNMODELED,,ONTOLOGY_GAP,,,DEFERRED_SIGNAL:SQUAT|PRODUCT_FAMILY:PLATE_LOADED_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,ONTOLOGY_GAP,HIGH,2029993,1,1,Product is a credible dedicated machine for deferred capability SQUAT; the current V1 registry intentionally cannot represent it.
1236,Eliptica Comercial S1 Series LED | Obelix®,true,CARDIO_MACHINE,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,PRODUCT_FAMILY:CARDIO_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,4975966,4,4,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
1237,Trotadora Comercial S1 Series LED | Obelix®,true,CARDIO_MACHINE,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,PRODUCT_FAMILY:CARDIO_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,105949473,37,60,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
1238,Trotadora Comercial S1 Series TFT Touch | Obelix®,true,CARDIO_MACHINE,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,PRODUCT_FAMILY:CARDIO_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,75488526,26,34,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
1239,Trotadora Curva AirRunner 1.0 | HWM®,true,CARDIO_MACHINE,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,PRODUCT_FAMILY:CARDIO_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,14828799,6,7,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
1240,Escalera LED S1 Series | Obelix®,true,CARDIO_MACHINE,UNMODELED,,VERIFIED_NO_APPLICABLE_CAPABILITY,,,PRODUCT_FAMILY:CARDIO_MACHINE|STRUCTURED_SEMANTIC_EVIDENCE:AVAILABLE,,HIGH,23146640,9,10,Catalog evidence identifies a cardio/accessory/support product without a current V1 strength capability.
