productId,name,active,productFamily,baselineResolutionState,resolutionState,resolved,baselineCandidateCapabilities,expectedV2Concepts,v2ExerciseCapabilities,v2TrainingFunctions,v2ReviewCandidates,gapType,currentCoverageStatus,reason
302,Barras Paralelas 70cm (Par) | HWM,true,BODYWEIGHT_GYMNASTICS,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,,DIP|PULL_UP,BODYWEIGHT_SUPPORT,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
388,Par Push Ups 1.0 | FullFit,true,UNKNOWN,SEMANTIC_PARTIAL,SEMANTIC_COMPLETE,true,DIP|PULL_UP,,DIP|PULL_UP,BODYWEIGHT_SUPPORT,,RULE_GAP,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
430,Bicicleta de Spinning Move | Obelix,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
435,Set 10 Body Pump + Rack | FullFit,true,RACK_CAGE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,BARBELL_SUPPORT,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
437,Soga de Tríceps - Accesorio Polea | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,CABLE_RESISTANCE,,,NO_CAPABILITY_APPLICABLE,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
454,Barra Lat Pull Down - Accesorio Polea | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,CABLE_RESISTANCE,,,NO_CAPABILITY_APPLICABLE,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
455,Barra Corta Recta - Accesorio Polea | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,CABLE_RESISTANCE,,,NO_CAPABILITY_APPLICABLE,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
462,Agarre Manilla Simple de Acero - Accesorio Polea (Unidad) | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,CABLE_RESISTANCE,,,NO_CAPABILITY_APPLICABLE,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
463,Par Ankle Straps de Cuero | FullFit,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,CABLE_RESISTANCE,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
466,Agarre Remo Neutro - Accesorio Polea | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,CABLE_RESISTANCE,,,NO_CAPABILITY_APPLICABLE,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
485,Press de Hombro V8 Series | Obelix,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,SHOULDER_PRESS,,SHOULDER_PRESS,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
486,Press de Pectoral V8 Series | Obelix,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,CHEST_PRESS,,CHEST_PRESS,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
487,Curl Femoral Sentado V8 Series | Obelix,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,LEG_CURL,,LEG_CURL,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
489,Remo Sentado V8 Series | Obelix,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,ROW,,ROW,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
491,Prensa Horizontal Sentado V8 Series | Obelix,true,PLATE_LOADED_MACHINE,ONTOLOGY_GAP,SEMANTIC_COMPLETE,true,,LEG_PRESS,LEG_PRESS,,,ONTOLOGY_GAP,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
494,Polea Cruzada Corta V8 Series | Obelix,true,CABLE_MACHINE,DATA_GAP,DATA_GAP,false,,,,CABLE_RESISTANCE,,DATA_GAP,INSUFFICIENT_EVIDENCE,Evidence remains unresolved under precision-first policy; no weak assignment was forced.
495,Polea Cruzada V8 Series | Obelix,true,CABLE_MACHINE,DATA_GAP,DATA_GAP,false,,,,CABLE_RESISTANCE,,DATA_GAP,INSUFFICIENT_EVIDENCE,Evidence remains unresolved under precision-first policy; no weak assignment was forced.
503,Remo Bajo V8 Series | Obelix,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,ROW,,ROW,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
528,Banco Abdominal/Fondo y Dominada MO Series | Obelix,true,BENCH,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,,PULL_UP,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
679,Bicicleta de Spinning SP9 | Obelix,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
761,Squat Rack Lite Series | HWM®,true,RACK_CAGE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,BARBELL_SUPPORT,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
777,Par Agarres OCR Pull Up Balls de Madera 68mm | Araknido,true,BODYWEIGHT_GYMNASTICS,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,PULL_UP,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
784,Par Agarres OCR Pull Up Bars de Madera 50mm | Araknido,true,BODYWEIGHT_GYMNASTICS,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,PULL_UP,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
797,Safety Squat Bar Black Series | HWM,true,UNKNOWN,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
821,Collarines Olímpicos de Aluminio 50mm Silver (Par) | HWM,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
899,Lat Pulldown Heavy Duty Series | HWM®,true,CABLE_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,LAT_PULLDOWN,,LAT_PULLDOWN,CABLE_RESISTANCE,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
930,Bulgarian Squat (Accesorio Jaula Hell - MJHWM2) | HWM,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,BARBELL_SUPPORT,,,NO_CAPABILITY_APPLICABLE,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
934,Barras Paralelas Ajustables 77-98cm (Par) | HWM,true,BODYWEIGHT_GYMNASTICS,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,,DIP|PULL_UP,BODYWEIGHT_SUPPORT,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1021,Multipower ZR Series | PROmachine,true,PLATE_LOADED_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,CABLE_RESISTANCE|GUIDED_BARBELL_SUPPORT,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1022,"Barra de Tríceps ""V"" Grip - Accesorio Polea | Obelix",true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,CABLE_RESISTANCE,,,NO_CAPABILITY_APPLICABLE,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1035,Barra Dominadas Puerta | FullFit,true,BODYWEIGHT_GYMNASTICS,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,,PULL_UP,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1059,Multifuncional Smith ZR Series | PROmachine,true,PLATE_LOADED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,,DIP|PULL_UP,GUIDED_BARBELL_SUPPORT,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1118,Banco Preolímpico Multifuncional Pro | Forza,true,BENCH,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,,LEG_CURL,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1121,Atril de Sentadillas 1.0 (Par) | Forza,true,RACK_CAGE,ONTOLOGY_GAP,SEMANTIC_COMPLETE,true,,BARBELL_SUPPORT,,BARBELL_SUPPORT,,ONTOLOGY_GAP,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1122,Multiestación de Poder 1.0 | Forza,true,UNKNOWN,DATA_GAP,DATA_GAP,false,,,,,,DATA_GAP,UNMODELED,Evidence remains unresolved under precision-first policy; no weak assignment was forced.
1123,Bicicleta de Spinning Home FZ1.0 | Forza,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1124,Lat Pull Down | Accesorio Smith Machine ZR Series | PROmachine,true,PLATE_LOADED_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,CABLE_RESISTANCE|GUIDED_BARBELL_SUPPORT,,,NO_CAPABILITY_APPLICABLE,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1126,Rampa Caminata de Manos | HWM®,true,BODYWEIGHT_GYMNASTICS,ONTOLOGY_GAP,SEMANTIC_COMPLETE,true,,BODYWEIGHT_SUPPORT,,BODYWEIGHT_SUPPORT,,ONTOLOGY_GAP,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1137,Par Ankle Straps Skull | FullFit,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,CABLE_RESISTANCE,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1138,Par Ankle Straps Pink Piton | FullFit,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,CABLE_RESISTANCE,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1139,Par Ankle Straps Diamond | FullFit,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,CABLE_RESISTANCE,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1140,Par Ankle Straps Camo | FullFit,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,CABLE_RESISTANCE,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1158,Trotadora Escaladora Lite Series | Obelix,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1159,Elíptica Cross Trainer Lite Series | Obelix,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1160,Elíptica Stepper Lite Series | Obelix,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1161,Bicicleta de Spinning Training Lite Series | Obelix,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1193,Salmon Ladder | Araknido,true,UNKNOWN,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,,PULL_UP,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1207,Multi Estación 4 Stacks V8 Series | Obelix,true,CABLE_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,LAT_PULLDOWN|ROW,,LAT_PULLDOWN|ROW,CABLE_RESISTANCE,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1229,Hack Squat Solid Rock | BODYTONE,true,PLATE_LOADED_MACHINE,ONTOLOGY_GAP,SEMANTIC_COMPLETE,true,,HACK_SQUAT,HACK_SQUAT,,,ONTOLOGY_GAP,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1236,Eliptica Comercial S1 Series LED | Obelix®,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1237,Trotadora Comercial S1 Series LED | Obelix®,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1238,Trotadora Comercial S1 Series TFT Touch | Obelix®,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1239,Trotadora Curva AirRunner 1.0 | HWM®,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1240,Escalera LED S1 Series | Obelix®,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1263,Collarines Olímpicos Competición (Par) | XMASTER,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1265,Press de Pectoral MO 2.0 Obelix®,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,CHEST_PRESS,,CHEST_PRESS,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1266,Aperturas Pec Fly / Rear Delt MO 2.0 Obelix®,true,SELECTORIZED_MACHINE,ONTOLOGY_GAP,SEMANTIC_COMPLETE,true,,PEC_DECK|REAR_DELT_FLY,PEC_DECK|REAR_DELT_FLY,,,ONTOLOGY_GAP,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1267,Polea Alta MO 2.0 Obelix®,true,CABLE_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,LAT_PULLDOWN,,LAT_PULLDOWN,CABLE_RESISTANCE,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1268,Remo Sentado MO 2.0 Obelix®,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,ROW,,ROW,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1269,Extensión de Cuádriceps MO 2.0 Obelix®,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,LEG_EXTENSION,,LEG_EXTENSION,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1270,Curl de Femoral Acostado MO 2.0 Obelix®,true,SELECTORIZED_MACHINE,RULE_GAP,SEMANTIC_COMPLETE,true,LEG_CURL,,LEG_CURL,,,RULE_GAP,INSUFFICIENT_EVIDENCE,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1271,Aductor MO 2.0 | Obelix®,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,ADDUCTOR,,ADDUCTOR,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1272,Hack Squat Lineal MO 2.0 | Obelix®,true,PLATE_LOADED_MACHINE,ONTOLOGY_GAP,SEMANTIC_COMPLETE,true,,HACK_SQUAT,HACK_SQUAT,,,ONTOLOGY_GAP,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1273,Prensa Inclinada 45° Lineal MO 2.0 | Obelix®,true,PLATE_LOADED_MACHINE,ONTOLOGY_GAP,SEMANTIC_COMPLETE,true,,LEG_PRESS,LEG_PRESS,,,ONTOLOGY_GAP,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1274,Jaula Smith Vertical MO 2.0 | Obelix®,true,PLATE_LOADED_MACHINE,ONTOLOGY_GAP,SEMANTIC_COMPLETE,true,,GUIDED_BARBELL_SUPPORT,,GUIDED_BARBELL_SUPPORT,,ONTOLOGY_GAP,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1275,Prensa Horizontal Sentado MO 2.0 Obelix®,true,PLATE_LOADED_MACHINE,ONTOLOGY_GAP,SEMANTIC_COMPLETE,true,,LEG_PRESS,LEG_PRESS,,,ONTOLOGY_GAP,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1278,Abductor MO 2.0 | Obelix®,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,ABDUCTOR,,ABDUCTOR,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1284,Elevación de Talones de Pie MO 2.0 | Obelix®,true,SELECTORIZED_MACHINE,ONTOLOGY_GAP,SEMANTIC_COMPLETE,true,,CALF_RAISE,CALF_RAISE,,,ONTOLOGY_GAP,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1288,Air Ski Trainer Eco Smart Connect | XEBEX,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1289,Air Cycle Eco Smart Connect | XEBEX,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1330,Par Collarines Olímpicos de PVC 50mm Rosado | HWM®,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1337,Banco Hip Thrust 2.0 | HWM®,true,BENCH,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,,HIP_THRUST,,,,UNMODELED,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1343,Agarre Ergonómico Neutro - Accesorio Polea | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,CABLE_RESISTANCE,,,NO_CAPABILITY_APPLICABLE,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1344,Agarre Ergonómico Medio - Accesorio Polea | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,CABLE_RESISTANCE,,,NO_CAPABILITY_APPLICABLE,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1345,Agarre Ergonómico Amplio - Accesorio Polea | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,CABLE_RESISTANCE,,,NO_CAPABILITY_APPLICABLE,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1346,Soga de Tríceps Unilateral - Accesorio Polea | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,CABLE_RESISTANCE,,,NO_CAPABILITY_APPLICABLE,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
1347,Soga de Tríceps Ergonómica - Accesorio Polea | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,CABLE_RESISTANCE,,,NO_CAPABILITY_APPLICABLE,"V2 Product Truth is covered by preserved V1 semantics, an approved V2 capability/function, or a validated rule closure."
