productId,productName,categoryName,categoryTrustClass,currentPrimaryFamily,currentSecondaryFamilies,manualCableMachineTruth,candidateEvidenceDecision,wouldReceiveCableMachine,classificationImpact,notes
455,Barra Corta Recta - Accesorio Polea | Obelix,Accesorios de Polea,SEMANTIC_STRONG,CABLE_MACHINE,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Attachment bar only.
462,Agarre Manilla Simple de Acero - Accesorio Polea (Unidad) | Obelix,Accesorios de Polea,SEMANTIC_STRONG,CABLE_MACHINE,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Handle accessory only.
463,Par Ankle Straps de Cuero | FullFit,Accesorios de Polea,SEMANTIC_STRONG,MACHINE_ATTACHMENT,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Current MACHINE_ATTACHMENT result is semantically correct.
466,Agarre Remo Neutro - Accesorio Polea | Obelix,Accesorios de Polea,SEMANTIC_STRONG,CABLE_MACHINE,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Handle accessory only.
1004,Set 3 Agarres Ergonómicos - Accesorio Polea | Obelix,Accesorios de Polea,SEMANTIC_STRONG,CABLE_MACHINE,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Accessory set only.
1022,"Barra de Tríceps ""V"" Grip - Accesorio Polea | Obelix",Accesorios de Polea,SEMANTIC_STRONG,CABLE_MACHINE,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Attachment bar only.
1124,Lat Pull Down | Accesorio Smith Machine ZR Series | PROmachine,Accesorios de Polea,SEMANTIC_STRONG,PLATE_LOADED_MACHINE,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Smith-machine add-on not a standalone cable station.
1137,Par Ankle Straps Skull | FullFit,Accesorios de Polea,SEMANTIC_STRONG,MACHINE_ATTACHMENT,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Current MACHINE_ATTACHMENT result is semantically correct.
1138,Par Ankle Straps Pink Piton | FullFit,Accesorios de Polea,SEMANTIC_STRONG,MACHINE_ATTACHMENT,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Current MACHINE_ATTACHMENT result is semantically correct.
1139,Par Ankle Straps Diamond | FullFit,Accesorios de Polea,SEMANTIC_STRONG,MACHINE_ATTACHMENT,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Current MACHINE_ATTACHMENT result is semantically correct.
1140,Par Ankle Straps Camo | FullFit,Accesorios de Polea,SEMANTIC_STRONG,MACHINE_ATTACHMENT,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Current MACHINE_ATTACHMENT result is semantically correct.
1343,Agarre Ergonómico Neutro - Accesorio Polea | Obelix,Accesorios de Polea,SEMANTIC_STRONG,CABLE_MACHINE,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Handle accessory only.
1344,Agarre Ergonómico Medio - Accesorio Polea | Obelix,Accesorios de Polea,SEMANTIC_STRONG,CABLE_MACHINE,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Handle accessory only.
1345,Agarre Ergonómico Amplio - Accesorio Polea | Obelix,Accesorios de Polea,SEMANTIC_STRONG,CABLE_MACHINE,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Handle accessory only.
1347,Soga de Tríceps Ergonómica - Accesorio Polea | Obelix,Accesorios de Polea,SEMANTIC_STRONG,CABLE_MACHINE,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Rope attachment only.
1348,Agarre Multipropósito - Accesorio Polea | Obelix,Accesorios de Polea,SEMANTIC_STRONG,CABLE_MACHINE,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Handle accessory only.
1349,Agarre Manilla Simple de Caucho - Accesorio Polea (Par) | Obelix,Accesorios de Polea,SEMANTIC_STRONG,CABLE_MACHINE,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Handle accessory only.
1350,"Barra Pulldown ""D"" Grip - Accesorio Polea | Obelix",Accesorios de Polea,SEMANTIC_STRONG,CABLE_MACHINE,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Attachment bar only.
2195,Pack 3 Agarres Ergonómicos - Accesorio Polea | Obelix,Accesorios de Polea,SEMANTIC_STRONG,CABLE_MACHINE,,FALSE_POSITIVE_ATTACHMENT,REJECT_ACCESSORY_CATEGORY,NO,NO_CHANGE_CATEGORY_REJECTED,Accessory set only.
