productId,name,active,productFamily,baselineResolutionState,resolutionState,resolved,baselineCandidateCapabilities,v21ExerciseCapabilities,v21TrainingFunctions,v21ReviewCandidates,gapType,exactBlocker,requiredFutureEvidenceOrAction,reason
503,Remo Bajo V8 Series | Obelix,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,ROW,ROW,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
528,Banco Abdominal/Fondo y Dominada MO Series | Obelix,true,BENCH,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,PULL_UP,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
679,Bicicleta de Spinning SP9 | Obelix,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
761,Squat Rack Lite Series | HWM®,true,RACK_CAGE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,BARBELL_SUPPORT,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
777,Par Agarres OCR Pull Up Balls de Madera 68mm | Araknido,true,BODYWEIGHT_GYMNASTICS,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,PULL_UP,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
784,Par Agarres OCR Pull Up Bars de Madera 50mm | Araknido,true,BODYWEIGHT_GYMNASTICS,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,PULL_UP,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
797,Safety Squat Bar Black Series | HWM,true,UNKNOWN,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
821,Collarines Olímpicos de Aluminio 50mm Silver (Par) | HWM,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
899,Lat Pulldown Heavy Duty Series | HWM®,true,CABLE_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,LAT_PULLDOWN,LAT_PULLDOWN,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
930,Bulgarian Squat (Accesorio Jaula Hell - MJHWM2) | HWM,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,BARBELL_SUPPORT,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
934,Barras Paralelas Ajustables 77-98cm (Par) | HWM,true,BODYWEIGHT_GYMNASTICS,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,DIP|PULL_UP,BODYWEIGHT_SUPPORT,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1021,Multipower ZR Series | PROmachine,true,PLATE_LOADED_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE|GUIDED_BARBELL_SUPPORT,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1022,"Barra de Tríceps ""V"" Grip - Accesorio Polea | Obelix",true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1035,Barra Dominadas Puerta | FullFit,true,BODYWEIGHT_GYMNASTICS,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,PULL_UP,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1059,Multifuncional Smith ZR Series | PROmachine,true,PLATE_LOADED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,DIP|PULL_UP,GUIDED_BARBELL_SUPPORT,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1118,Banco Preolímpico Multifuncional Pro | Forza,true,BENCH,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,LEG_CURL,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1121,Atril de Sentadillas 1.0 (Par) | Forza,true,RACK_CAGE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,,BARBELL_SUPPORT,,ONTOLOGY_GAP,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1122,Multiestación de Poder 1.0 | Forza,true,UNKNOWN,DATA_GAP,DATA_GAP,false,,,,,DATA_GAP,Product Family is UNKNOWN and the trusted structured input has no station/module/mechanism declaration.,Enrich Product Semantic classification with canonical family and explicit station/module components.,"Possible pull-up, dip and abdominal functions appear only in description text; they cannot override the missing upstream Product Family and module truth."
1123,Bicicleta de Spinning Home FZ1.0 | Forza,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1124,Lat Pull Down | Accesorio Smith Machine ZR Series | PROmachine,true,PLATE_LOADED_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE|GUIDED_BARBELL_SUPPORT,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1126,Rampa Caminata de Manos | HWM®,true,BODYWEIGHT_GYMNASTICS,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,,BODYWEIGHT_SUPPORT,,ONTOLOGY_GAP,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1137,Par Ankle Straps Skull | FullFit,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1138,Par Ankle Straps Pink Piton | FullFit,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1139,Par Ankle Straps Diamond | FullFit,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1140,Par Ankle Straps Camo | FullFit,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1158,Trotadora Escaladora Lite Series | Obelix,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1159,Elíptica Cross Trainer Lite Series | Obelix,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1160,Elíptica Stepper Lite Series | Obelix,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1161,Bicicleta de Spinning Training Lite Series | Obelix,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1193,Salmon Ladder | Araknido,true,UNKNOWN,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,PULL_UP,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1207,Multi Estación 4 Stacks V8 Series | Obelix,true,CABLE_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,LAT_PULLDOWN|ROW,LAT_PULLDOWN|ROW,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1229,Hack Squat Solid Rock | BODYTONE,true,PLATE_LOADED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,HACK_SQUAT,,,ONTOLOGY_GAP,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1236,Eliptica Comercial S1 Series LED | Obelix®,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1237,Trotadora Comercial S1 Series LED | Obelix®,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1238,Trotadora Comercial S1 Series TFT Touch | Obelix®,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1239,Trotadora Curva AirRunner 1.0 | HWM®,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1240,Escalera LED S1 Series | Obelix®,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1263,Collarines Olímpicos Competición (Par) | XMASTER,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1265,Press de Pectoral MO 2.0 Obelix®,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,CHEST_PRESS,CHEST_PRESS,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1266,Aperturas Pec Fly / Rear Delt MO 2.0 Obelix®,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,PEC_DECK|REAR_DELT_FLY,,,ONTOLOGY_GAP,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1267,Polea Alta MO 2.0 Obelix®,true,CABLE_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,LAT_PULLDOWN,LAT_PULLDOWN,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1268,Remo Sentado MO 2.0 Obelix®,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,ROW,ROW,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1269,Extensión de Cuádriceps MO 2.0 Obelix®,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,LEG_EXTENSION,LEG_EXTENSION,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1270,Curl de Femoral Acostado MO 2.0 Obelix®,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,LEG_CURL,LEG_CURL,,,RULE_GAP,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1271,Aductor MO 2.0 | Obelix®,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,ADDUCTOR,ADDUCTOR,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1272,Hack Squat Lineal MO 2.0 | Obelix®,true,PLATE_LOADED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,HACK_SQUAT,,,ONTOLOGY_GAP,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1273,Prensa Inclinada 45° Lineal MO 2.0 | Obelix®,true,PLATE_LOADED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,LEG_PRESS,,,ONTOLOGY_GAP,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1274,Jaula Smith Vertical MO 2.0 | Obelix®,true,PLATE_LOADED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,,GUIDED_BARBELL_SUPPORT,,ONTOLOGY_GAP,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1275,Prensa Horizontal Sentado MO 2.0 Obelix®,true,PLATE_LOADED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,LEG_PRESS,,,ONTOLOGY_GAP,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1278,Abductor MO 2.0 | Obelix®,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,ABDUCTOR,ABDUCTOR,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1284,Elevación de Talones de Pie MO 2.0 | Obelix®,true,SELECTORIZED_MACHINE,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,CALF_RAISE,,,ONTOLOGY_GAP,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1288,Air Ski Trainer Eco Smart Connect | XEBEX,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1289,Air Cycle Eco Smart Connect | XEBEX,true,CARDIO_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1330,Par Collarines Olímpicos de PVC 50mm Rosado | HWM®,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1337,Banco Hip Thrust 2.0 | HWM®,true,BENCH,SEMANTIC_COMPLETE,SEMANTIC_COMPLETE,true,,HIP_THRUST,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1343,Agarre Ergonómico Neutro - Accesorio Polea | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1344,Agarre Ergonómico Medio - Accesorio Polea | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1345,Agarre Ergonómico Amplio - Accesorio Polea | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1346,Soga de Tríceps Unilateral - Accesorio Polea | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1347,Soga de Tríceps Ergonómica - Accesorio Polea | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1348,Agarre Multipropósito - Accesorio Polea | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1349,Agarre Manilla Simple de Caucho - Accesorio Polea (Par) | Obelix,true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1350,"Barra Pulldown ""D"" Grip - Accesorio Polea | Obelix",true,CABLE_MACHINE,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,CABLE_RESISTANCE,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
1351,Agarre Simple Landmine | HWM®,true,MACHINE_ATTACHMENT,VERIFIED_NO_APPLICABLE_CAPABILITY,VERIFIED_NO_APPLICABLE_CAPABILITY,true,,,,,,No unresolved blocker; baseline resolution is preserved.,None.,Preserved from the A00.6.6 resolved baseline.
