productId,name,active,revenue,productFamily,likelyCapability,whyEvidenceIsInsufficient,humanReviewWorthwhile,classification,reviewQuestion
488,Curl de Bíceps V8 Series | Obelix,false,2519981,SELECTORIZED_MACHINE,BICEPS_CURL,Signal belongs to a deferred capability outside V1.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
490,Press de Tríceps V8 Series | Obelix,false,3494974,SELECTORIZED_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
493,Abdominal V8 Series | Obelix,false,0,UNKNOWN,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
494,Polea Cruzada Corta V8 Series | Obelix,true,17920935,CABLE_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,true,HUMAN_REVIEW_WORTHY,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
495,Polea Cruzada V8 Series | Obelix,true,15319928,CABLE_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,true,HUMAN_REVIEW_WORTHY,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
534,Polea de Muro 2.0 ZR Series | PROmachine,false,113925554.5,CABLE_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
889,ACCESORIOS DE LEG PRESS PARA JAULA,false,0,RACK_CAGE,LEG_PRESS,Signal belongs to a deferred capability outside V1.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
990,PACK POLEA MURO MALETIN 50KG,false,0,CABLE_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
991,PACK POLEA MURO MALETIN 50KG BANCO,false,0,CABLE_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
1011,Pendulum Leg Press | Obelix,false,1259994,UNKNOWN,LEG_PRESS,Signal belongs to a deferred capability outside V1.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
1020,TOBILLERA PARA POLEA LONA,false,0,CABLE_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
1023,MAQUINA CUADRICEPS,false,0,UNKNOWN,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
1070,Linear Leg Press PL Series | Obelix,false,4249990,PLATE_LOADED_MACHINE,LEG_PRESS,Signal belongs to a deferred capability outside V1.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
1162,Remo de Aire Magnético Lite Series | Obelix,false,13733661,CARDIO_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
1227,Leg Press Solid Rock | BODYTONE,false,7839972,PLATE_LOADED_MACHINE,LEG_PRESS,Signal belongs to a deferred capability outside V1.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
1241,Remo de Agua 1.0 | PROmachine,false,1367964,CARDIO_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
1270,Curl de Femoral Acostado MO 2.0 Obelix®,true,13182901,SELECTORIZED_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,true,HUMAN_REVIEW_WORTHY,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
1378,Seated Leg Press Forza Bold | BODYTONE,false,0,SELECTORIZED_MACHINE,LEG_PRESS,Signal belongs to a deferred capability outside V1.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
1427,Polea de Muro 1.0 ZR Series | PROmachine,true,107054339.5,CABLE_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,true,HUMAN_REVIEW_WORTHY,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
1504,Dual Cuádriceps / Femoral Sentado MO 2.0 | Obelix®,true,74825638,SELECTORIZED_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,true,HUMAN_REVIEW_WORTHY,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
1508,Dual Press Pectoral / Hombros MO 2.0 | Obelix®,true,19407474,SELECTORIZED_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,true,HUMAN_REVIEW_WORTHY,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
1516,Polea Cruzada MO 2.0 | Obelix®,true,10299947,CABLE_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,true,HUMAN_REVIEW_WORTHY,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
1517,Polea Cruzada Corta MO 2.0 | Obelix®,true,51724165,CABLE_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,true,HUMAN_REVIEW_WORTHY,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
1692,Polea Cruzada Corta V8 Series | Obelix | 2da Selección,false,1619994,CABLE_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
1699,Remo de Aire Magnético Lite Series | Obelix | 2da Selección,false,194995,CARDIO_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
1823,Core Roller | Rising,true,3536430.5,UNKNOWN,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,true,HUMAN_REVIEW_WORTHY,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
1984,Polea de Muro 1.0 - 2da Selección | PROmachine,false,231588,CABLE_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
2011,Dual Pectoral/Hombros MO 2.0 - 2da Selección | Obelix,false,839994,UNKNOWN,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
2025,Multi Hip Extension | Peach Builder,true,2477081,PLATE_LOADED_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,true,HUMAN_REVIEW_WORTHY,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
2076,Dual Femoral/Cuádriceps MO 2.0 - 2da Selección | Obelix,false,839994,SELECTORIZED_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
2139,Polea Dual Multifuncional 70kg ZR Series | PROmachine,true,7113272,CABLE_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,true,HUMAN_REVIEW_WORTHY,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
2203,Dual Cuádriceps / Femoral Acostado MO 2.0 | Obelix®,true,979994,SELECTORIZED_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,true,HUMAN_REVIEW_WORTHY,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
2231,Polea Dual Multifuncional 70kg ZR Series - 2da Selección | PROmachine (PM-M853A-SU45-2),false,219995,CABLE_MACHINE,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
2280,Dual Press Pectoral / Hombros MO 2.0 - 2da Selección | Obelix® (OB-MO2-S35-SU40-2),false,839994,UNKNOWN,,No sufficient trusted name/category/semantic-feature evidence for a V1 assignment.,false,SAFE_TO_LEAVE,¿Existe evidencia estructurada adicional que permita resolver una capability sin inferencia libre?
